,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
246,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,387.4711111821234,False,False,0.2176393830913073,7000,29892,0.00029892,0.0032050457520897,0.1149142503892371
247,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,388.5373530648649,False,False,0.1407373179285734,7000,29897,0.00029897,0.0172210788292304,0.115031601187199
248,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,388.7363775484264,False,False,0.044728275105084,7000,29891,0.00029891,0.0011391562563705,0.1194667227248901
249,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,387.1185272410512,False,False,0.0061990417247846,7000,29901,0.00029901,0.0028018277846786,0.1146372917166746
250,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,342.6877172570676,True,False,0.8696967595037239,2000,19888,0.00019888,0.0240317793456852,0.1177486226144488
251,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,401.39847890660167,True,False,0.1639999965393833,2000,19884,0.00019884,0.0505452697328694,0.1156755974189659
252,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,372.1675707437098,True,False,0.1214112022537249,2000,19881,0.00019881,0.0292801886886187,0.1185369708902191
253,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,391.8057380616665,True,False,2.118426366701827,2000,19894,0.00019894,0.0835977166856674,0.118123230655576
254,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,364.9112142380327,True,False,2.6467133729508814,2000,19891,0.00019891,0.0287225450097832,0.1230570869279309
255,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,362.2425217796117,True,False,0.6899392444484423,2000,19886,0.00019886,0.0951675935634477,0.1243692592568098
256,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,288.7467272412032,True,False,0.6038237650939192,2000,19886,0.00019886,0.0605134501439645,0.115527399389213
257,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,390.6042257603258,True,False,0.1324379854429144,2000,19889,0.00019889,0.0371909526881306,0.1187355756975448
258,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,462.50686027668417,True,False,0.2867348688984876,2000,19894,0.00019894,0.0353668145047774,0.1177284082292588
259,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,552.4707717373967,True,False,0.1044169121764748,2000,19887,0.00019887,0.0374245108651509,0.1141210555996637
260,0,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,433.137242462486,False,False,0.010560921851103,5000,33881,0.00033881,0.0029214814162262,0.1172938666589341
261,1,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,435.7384278103709,False,False,0.351958682699975,5000,33877,0.00033877,0.0115322913035876,0.1282281266814883
262,2,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,434.69580168649554,False,False,0.0103560514950005,5000,33905,0.00033905,0.0024091641438304,0.1201873323735447
263,3,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,435.9424676783383,False,False,0.02838696405261,5000,33892,0.00033892,0.0052810099622685,0.1226272274434957
264,4,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,435.2771824635565,False,False,0.0297297906914324,5000,33874,0.00033874,0.0048065091223256,0.1239949925747375
265,5,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,433.4827906303108,False,False,0.0267574841808639,5000,33870,0.0003387,0.0023135876607981,0.1187087464788554
266,6,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,434.615520555526,False,False,0.0115513653395572,5000,33874,0.00033874,0.0029494720414446,0.1182151633222573
267,7,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,435.8986421898008,False,False,0.0101519216225992,5000,33879,0.00033879,0.0038629034086923,0.1199687267843287
268,8,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,432.6757221482694,False,False,0.0278796446356544,5000,33816,0.00033816,0.0061066696894919,0.1135963216506254
269,9,100,15,4,inf,deli,2,2.0,0.5,8.0,0.5,435.7602192759514,False,False,0.3470939108762195,5000,33862,0.00033862,0.009619104722031,0.1126372560751779
270,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,402.8437373358756,True,False,0.0111534285236756,7000,29798,0.00029798,0.0031185917140408,0.1263246573727674
271,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,406.83653627336025,True,False,0.0185425487193164,7000,29794,0.00029794,0.0043900820300647,0.1235688510721482
272,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,404.1595196761191,True,False,0.0042228667842939,7000,29806,0.00029806,0.0011210668205753,0.1154628678462428
273,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,404.9490401167423,True,False,0.0259708278206381,7000,29810,0.0002981,0.0069860436167056,0.1189857943755366
274,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,406.1393918413669,True,False,0.001266386002277,7000,29807,0.00029807,0.0003207339089286,0.1175561852947248
275,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,409.6314700767398,True,False,0.0411710731344576,7000,29803,0.00029803,0.0109122702232114,0.1150367537106103
276,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,407.67598565109074,True,False,0.0011346605099621,7000,29805,0.00029805,0.0003115406026261,0.1163892173644549
277,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,407.3411732967943,True,False,1.1265849696003316,7000,29806,0.00029806,0.0196175067797258,0.1208732532999421
278,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,403.7092462070286,True,False,0.0020553775437507,7000,29804,0.00029804,0.0008436729541584,0.1177311834362886
279,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.7,404.5530787855387,True,False,0.0130313907894974,7000,29805,0.00029805,0.0023294517261257,0.1221472931395327
280,0,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,359.35737175121903,False,False,0.5468662177631561,2000,11985,0.00011985,0.0628241508353603,0.1114170020797463
281,1,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,387.0058678276837,False,False,0.046520854138296,2000,11983,0.00011983,0.0267769321054301,0.1203169041119421
282,2,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,389.3326424993575,False,False,0.0321760857979478,2000,11983,0.00011983,0.0069716133792446,0.1107172964686012
283,3,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,387.7389074116945,False,False,0.1272977978771164,2000,11980,0.0001198,0.0117670720041127,0.1083086532306431
284,4,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,375.1638922132552,False,False,0.040614925086781,2000,11986,0.00011986,0.0151127828364482,0.1115663710167532
285,5,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,315.5009226426482,False,False,0.2032951798596406,2000,11979,0.00011979,0.0354944045083576,0.1153891499544063
286,6,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,325.5091501437128,False,False,0.4401842196956015,2000,11986,0.00011986,0.0418335098916302,0.1116324425312141
287,7,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,324.121963173151,False,False,1.2812832914956902,2000,11981,0.00011981,0.1050689293149577,0.1117801239506343
288,8,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,314.11723820120096,False,False,0.0819940532209738,2000,11978,0.00011978,0.0112008221954763,0.1137660574909308
289,9,100,5,4,inf,deli,2,2.0,0.5,8.0,0.2,387.2199079841376,False,False,0.0848842584705856,2000,11981,0.00011981,0.0058812161765898,0.1116244989604889
290,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,417.2567003350705,True,False,0.0089949706269987,4000,23853,0.00023853,0.002926806655571,0.1126301344669563
291,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,417.9548175539821,True,False,0.0766865258628058,4000,23849,0.00023849,0.0163801292738094,0.1214775453117501
292,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.4,420.5390133559704,True,False,0.1213174596487305,4000,23850,0.0002385,0.0086733554264069,0.1240914801782841
